"answer","option1","option2","option3","subject","question","explanation"
"Yew Wood with a Phoenix Feather Core","Cypress Wood with a Unicorn Hair Core","Walnut Wood with a Dragon Heartstring Core","Hawthorn Wood with a Unicorn Hair Core","Harry Potter","What type of wood and core material is used in Voldemort's wand?","Voldemort's wand is made of Yew wood with a Phoenix feather core."
"Wormtail","The Whomping Willow","Holly Wood with a Phoenix Feather Core","The Yule Ball","Harry Potter","What is the nickname of Peter Pettigrew, one of Voldemort's loyal followers?","Wormtail is the nickname of Peter Pettigrew."
"Wingardium Leviosa","Alohomora","Incendio","Nox","Harry Potter","Which spell is used to make objects float in the air?","The Wingardium Leviosa spell is used to levitate objects off the ground."
"Willow Wood with a Unicorn Hair Core","Vine Wood with a Dragon Heartstring Core","Elder Wood with a Phoenix Feather Core","Unknown Wood with a Dragon Heartstring Core","Harry Potter","What type of wood and core material is used in Harry Potter's first wand?","Harry's first wand is made of Willow wood with a Unicorn hair core."
"Walnut Wood with a Dragon Heartstring Core.","Cypress Wood with a Unicorn Hair Core","Hawthorn Wood with a Unicorn Hair Core","Willow Wood with a Unicorn Hair Core","Harry Potter","What type of wood and core material is used in Ron Weasley's second wand?","Ron Weasley's second wand is made of Walnut wood with a Dragon heartstring core."
"Vine Wood with a Dragon Heartstring Core","Elder Wood with a Phoenix Feather Core","Willow Wood with a Unicorn Hair Core","Unknown Wood with a Dragon Heartstring Core","Harry Potter","What type of wood and core material is used in Viktor Krum's wand?","Viktor Krum's wand is made of Vine wood with a Dragon heartstring core."
"Vincent Crabbe","The Whomping Willow","Holly Wood with a Phoenix Feather Core","Wormtail","Harry Potter","Who is one of Draco Malfoy's close friends and associates among the Slytherin students?","Vincent Crabbe is a Slytherin student."
"Viktor Krum","Holly Wood with a Phoenix Feather Core","Vincent Crabbe","Wormtail","Harry Potter","Who is the talented Quidditch player from Bulgaria who competes in the Triwizard Tournament in 'Harry Potter and the Goblet of Fire'?","Viktor Krum is a Triwizard Tournament champion."
"Vernon Dursley","Room of Requirement","Petunia Dursley","Dudley Dursley","Harry Potter","Who is Harry Potter's uncle and the head of the Dursley family?","Vernon Dursley is Harry's uncle."
"Unknown Wood with a Dragon Heartstring Core","Yew Wood with a Phoenix Feather Core","Hawthorn Wood with a Unicorn Hair Core","Walnut Wood with a Dragon Heartstring Core.","Harry Potter","What type of wood and core material is used in Bellatrix Lestrange's wand?","Bellatrix Lestrange's wand is made of Unknown wood with a Dragon heartstring core."
"Tom Riddle's Diary","Viktor Krum","Vincent Crabbe","Victor Krum's Dragon","Harry Potter","Which object serves as one of Voldemort's Horcruxes and possesses the ability to possess and control its user in 'Harry Potter and the Chamber of Secrets'?","Tom Riddle's Diary is a Horcrux."
"Tom Riddle","Viktor Krum","Victor Krum","Tom Riddle's Diary","Harry Potter","What is the birth name of the young wizard who later becomes known as Lord Voldemort?","Tom Riddle is Voldemort's birth name."
"Thestrals","Victor Krum's Dragon","Tom Riddle's Diary","Tom Riddle","Harry Potter","What winged, skeletal creatures are visible only to those who have witnessed death?","Thestrals are visible to some due to death."
"Thestral Carriages","Thestrals","Tom Riddle's Diary","Tom Riddle","Harry Potter","What horse-like magical creatures pull the carriages that transport students from the Hogwarts Express to Hogwarts Castle?","Thestral Carriages transport students."
"The Yule Ball","Thestrals","Thestral Carriages","Tom Riddle","Harry Potter","What formal event is held at Hogwarts School of Witchcraft and Wizardry during the Triwizard Tournament in 'Harry Potter and the Goblet of Fire'?","The Yule Ball is a formal event."
"The Whomping Willow","Thestrals","Thestral Carriages","The Yule Ball","Harry Potter","What dangerous magical tree is planted on the grounds of Hogwarts?","The Whomping Willow is a dangerous tree."
"The Veil","The Sorting Hat","The Sorcerer's Stone","The Sword of Gryffindor","Harry Potter","What mysterious object in the Department of Mysteries is a gateway to the afterlife?","The Veil is a mysterious gateway to the afterlife."
"The Unforgivable Curses","The Sorting Hat","The Veil","The Sorcerer's Stone","Harry Potter","What are the three forbidden curses in the Harry Potter series, considered to be the darkest spells?","The Unforgivable Curses are dark and forbidden spells."
"The Unbreakable Vow","The Unforgivable Curses","The Sorcerer's Stone","The Veil","Harry Potter","What magical vow is considered unbreakable and is featured?","The Unbreakable Vow is a significant magical commitment."
"The Triwizard Tournament","The Unforgivable Curses","The Unbreakable Vow","The Veil","Harry Potter","Which major international Quidditch sporting event is held every four years?","The Triwizard Tournament is a central event."
