"answer","question","subject","option1","option2","option3","option4","explanation"
"Yew Wood with a Phoenix Feather Core","What type of wood and core material is used in Voldemort's wand?","Harry Potter","Walnut Wood with a Dragon Heartstring Core","Hawthorn Wood with a Unicorn Hair Core","Cypress Wood with a Unicorn Hair Core","Yew Wood with a Phoenix Feather Core","Voldemort's wand is made of Yew wood with a Phoenix feather core."
"Wormtail","What is the nickname of Peter Pettigrew, one of Voldemort's loyal followers?","Harry Potter","Holly Wood with a Phoenix Feather Core","The Whomping Willow","The Yule Ball","Wormtail","Wormtail is the nickname of Peter Pettigrew."
"Wingardium Leviosa","Which spell is used to make objects float in the air?","Harry Potter","Incendio","Alohomora","Nox","Wingardium Leviosa","The Wingardium Leviosa spell is used to levitate objects off the ground."
"Willow Wood with a Unicorn Hair Core","What type of wood and core material is used in Harry Potter's first wand?","Harry Potter","Vine Wood with a Dragon Heartstring Core","Elder Wood with a Phoenix Feather Core","Unknown Wood with a Dragon Heartstring Core","Willow Wood with a Unicorn Hair Core","Harry's first wand is made of Willow wood with a Unicorn hair core."
"Walnut Wood with a Dragon Heartstring Core.","What type of wood and core material is used in Ron Weasley's second wand?","Harry Potter","Hawthorn Wood with a Unicorn Hair Core","Cypress Wood with a Unicorn Hair Core","Willow Wood with a Unicorn Hair Core","Walnut Wood with a Dragon Heartstring Core.","Ron Weasley's second wand is made of Walnut wood with a Dragon heartstring core."
"Vine Wood with a Dragon Heartstring Core","What type of wood and core material is used in Viktor Krum's wand?","Harry Potter","Elder Wood with a Phoenix Feather Core","Unknown Wood with a Dragon Heartstring Core","Willow Wood with a Unicorn Hair Core","Vine Wood with a Dragon Heartstring Core","Viktor Krum's wand is made of Vine wood with a Dragon heartstring core."
"Vincent Crabbe","Who is one of Draco Malfoy's close friends and associates among the Slytherin students?","Harry Potter","Wormtail","Holly Wood with a Phoenix Feather Core","The Whomping Willow","Vincent Crabbe","Vincent Crabbe is a Slytherin student."
"Viktor Krum","Who is the talented Quidditch player from Bulgaria who competes in the Triwizard Tournament in 'Harry Potter and the Goblet of Fire'?","Harry Potter","Vincent Crabbe","Wormtail","Holly Wood with a Phoenix Feather Core","Viktor Krum","Viktor Krum is a Triwizard Tournament champion."
"Vernon Dursley","Who is Harry Potter's uncle and the head of the Dursley family?","Harry Potter","Petunia Dursley","Dudley Dursley","Room of Requirement","Vernon Dursley","Vernon Dursley is Harry's uncle."
"Unknown Wood with a Dragon Heartstring Core","What type of wood and core material is used in Bellatrix Lestrange's wand?","Harry Potter","Yew Wood with a Phoenix Feather Core","Walnut Wood with a Dragon Heartstring Core.","Hawthorn Wood with a Unicorn Hair Core","Unknown Wood with a Dragon Heartstring Core","Bellatrix Lestrange's wand is made of Unknown wood with a Dragon heartstring core."
