"answer","option1","option2","option3","subject","question","explanation"
"Luke Skywalker","Princess Leia Organa","Darth Vader","Han Solo","Star Wars","Who is known as the hero of the Rebel Alliance and the son of Anakin Skywalker?","Luke Skywalker is the hero of the Rebel Alliance and the son of Anakin Skywalker."
"Princess Leia Organa","Darth Vader","Luke Skywalker","Han Solo","Star Wars","Who is the skilled diplomat and leader of the Rebel Alliance?","Princess Leia Organa is a skilled diplomat and leader of the Rebel Alliance."
"Han Solo","Darth Vader","Princess Leia Organa","Luke Skywalker","Star Wars","Who is the charming smuggler and pilot of the Millennium Falcon?","Han Solo is the charming smuggler and pilot of the Millennium Falcon."
"Darth Vader","Princess Leia Organa","Luke Skywalker","Han Solo","Star Wars","Who is the Sith Lord and former Jedi Knight with a deep voice and iconic helmet?","Darth Vader is the Sith Lord and former Jedi Knight with a deep voice and iconic helmet."
"Obi-Wan Kenobi","R2-D2","Chewbacca","Yoda","Star Wars","Who is a wise Jedi Master and mentor to Anakin Skywalker and Luke Skywalker?","Obi-Wan Kenobi is a wise Jedi Master and mentor to Anakin Skywalker and Luke Skywalker."
"Yoda","C-3PO","Chewbacca","R2-D2","Star Wars","Who is the ancient and wise Jedi Master who trained Luke Skywalker?","Yoda is the ancient and wise Jedi Master who trained Luke Skywalker."
"Chewbacca","R2-D2","C-3PO","Yoda","Star Wars","Who is the loyal Wookiee co-pilot of the Millennium Falcon?","Chewbacca is the loyal Wookiee co-pilot of the Millennium Falcon."
"R2-D2","C-3PO","Chewbacca","Yoda","Star Wars","Who is the resourceful astromech droid often seen with Luke Skywalker?","R2-D2 is the resourceful astromech droid often seen with Luke Skywalker."
"C-3PO","R2-D2","Chewbacca","Yoda","Star Wars","Who is the protocol droid fluent in multiple languages and often paired with R2-D2?","C-3PO is the protocol droid fluent in multiple languages and often paired with R2-D2."
"Tatooine","Hoth","Endor","Alderaan","Star Wars","What desert planet is Luke Skywalker's home and the location of the first Star Wars film?","Tatooine is the desert planet that is Luke Skywalker's home and the location of the first Star Wars film."
"Alderaan","Hoth","Endor","Tatooine","Star Wars","Which planet was destroyed by the Death Star in the original Star Wars film?","Alderaan was destroyed by the Death Star in the original Star Wars film."
"Death Star","Alderaan","Millennium Falcon","Tatooine","Star Wars","What is the name of the massive space station and superweapon built by the Empire?","The Death Star is the massive space station and superweapon built by the Empire."
"Millennium Falcon","Alderaan","Tatooine","Death Star","Star Wars","What is the name of Han Solo's iconic starship?","The Millennium Falcon is Han Solo's iconic starship."
"Lightsaber","Alderaan","Tatooine","Death Star","Star Wars","What weapon is commonly used by Jedi and Sith, with a blade of plasma?","A lightsaber is a weapon commonly used by Jedi and Sith, with a blade of plasma."
"The Force","Alderaan","Tatooine","Death Star","Star Wars","What mystical energy field gives Jedi their power and binds the galaxy together?","The Force is the mystical energy field that gives Jedi their power and binds the galaxy together."
"Battle of Yavin","Battle of Coruscant","Battle of Hoth","Battle of Endor","Star Wars","In which battle did the Rebel Alliance destroy the first Death Star?","The Rebel Alliance destroyed the first Death Star in the Battle of Yavin."
"Battle of Hoth","Battle of Yavin","Battle of Coruscant","Battle of Endor","Star Wars","In which icy battle did the Empire attack the Rebel Alliance on the planet Hoth?","The Empire attacked the Rebel Alliance in the Battle of Hoth on the planet Hoth."
"Battle of Endor","Battle of Yavin","Battle of Hoth","Battle of Coruscant","Star Wars","In which decisive battle did the Rebel Alliance confront the Empire's forces in the forest moon of Endor?","The Rebel Alliance confronted the Empire's forces in the Battle of Endor on the forest moon of Endor."
"Jabba the Hutt","Emperor Palpatine","The Jedi Council","Lando Calrissian","Star Wars","Who is the notorious crime lord and owner of the palace on Tatooine?","Jabba the Hutt is the notorious crime lord and owner of the palace on Tatooine."
