"answer","option1","option2","option3","subject","question","explanation"
"Anduril","Valinor","Narsil","Ulmo","Lord Of The Rings","What is the name of the reforged sword from the shards of Narsil, carried by Aragorn as the King of Gondor?","Anduril is the reforged sword carried by Aragorn."
"Anórien","Bill Ferny","Battle of Pelennor","Beregond","Lord Of The Rings","What is the name of the region of Gondor that lies east of the White Mountains and is known for its fertile plains and farmlands?","Anórien is a prominent Gondorian region."
"Aragorn","Frodo Baggins","Gandalf","Legolas","Lord Of The Rings","Which character is also known as Strider?","Aragorn is also known as Strider in the story."
"The Sword of Aragorn","The Horn of Helm Hammerhand","Smeagol's Precious","Gimli's Helmet","Lord Of The Rings","What is the name of the sword that Aragorn, also known as Strider, wields as the rightful heir to the throne of Gondor?","Aragorn wields the Sword of Aragorn."
"Arwen","Elendil","Frodo's Journal","Smeagol","Lord Of The Rings","Who is the half-elf princess of Rivendell and the love interest of Aragorn?","Arwen is the half-elf princess and Aragorn's love interest."
"Aulë","Manwe","Glóin","Bifur","Lord Of The Rings","Which Valar is known as the Smith and the creator of the Dwarves in 'The Silmarillion'?","Aulë is known as the Smith and creator of the Dwarves in 'The Silmarillion.'"
"Manwe","Aulë","Glóin","Bifur","Lord Of The Rings","Who is the King of the Valar and the chief of the Ainur in 'The Silmarillion'?","Manwe is the King of the Valar in 'The Silmarillion.'"
"Bag End","Rivendell","Minas Tirith","Hobbiton","Lord Of The Rings","What is the name of Bilbo and Frodo Baggins' residence in the Shire?","Bag End is the residence of Bilbo and Frodo Baggins."
"Beorn","Eowyn's Shieldmaiden Armor","The Mouth of Sauron","Grima Wormtongue","Lord Of The Rings","Who is the shape-shifting and reclusive skin-changer encountered by Bilbo and the dwarves?","Beorn is the shape-shifting skin-changer encountered."
"Beregond","Bill Ferny","Bree","Buckland","Lord Of The Rings","Who is a loyal soldier and guard of Minas Tirith, and he becomes a trusted friend of Pippin Took, even saving Faramir's life during the battle?","Beregond is a valiant character in Gondor."
"Bifur","Bofur","Glóin","The Prancing Pony Innkeeper","Lord Of The Rings","Which dwarf from Thorin Oakenshield's company shares a similar name with his cousins Bofur and Bombur?","Bifur shares a similar name with his cousins."
"Bill Ferny","Buckland","Bree","Dagorlad","Lord Of The Rings","What is the name of a disreputable character  who is involved in shady dealings and has a brief encounter with Frodo and the other Hobbits in Bree?","Bill Ferny is known for his unsavory actions."
"Bill the Pony","Valinor","Ulmo","The Watcher in the Water","Lord Of The Rings","What is the name of the reliable and overlooked pony that carries supplies for the Fellowship?","Bill the Pony is the reliable pony of the Fellowship."
"Bofur","Glóin","The Prancing Pony Innkeeper","Bifur","Lord Of The Rings","Which dwarf from Thorin Oakenshield's company shares a similar name with his cousins Bifur and Bombur?","Bofur shares a similar name with his cousins."
"Bolg","Azog Jr.","Goblin King","Orc Leader","Lord Of The Rings","Who is the son of Azog the Defiler and takes command of the Orcs after Azog's death?","Bolg is the son of Azog the Defiler and takes command of the Orcs after Azog's death."
"Boromir","Theoden","Gondor","Shelob","Lord Of The Rings","Which member of the Fellowship of the Ring hails from the city of Gondor?","Boromir is from the city of Gondor."
"The Horn of Boromir","Cloak of Invisibility","The Scroll of Isildur","Evenstar Pendant","Lord Of The Rings","What valuable item, carried by Boromir, is blown as a call for aid before his demise?","Boromir uses the Horn of Boromir to call for aid."
"Brandy Hall","The Old Forest","The Bucklebury Ferry","The Barrow-downs","Lord Of The Rings","Which location is known as the main residence of the Brandybuck family, one of the wealthiest and most influential families in the Shire?","Brandy Hall is a prominent location in the Shire."
"Bree","Buckland","Dagorlad","Emyn Muil","Lord Of The Rings","What is the name of the town where Frodo and his companions, including Aragorn, first meet and stay briefly before embarking on their journey to Rivendell?","Bree is an important starting point in the story."
"Buckland","Fangorn","Dagorlad","Emyn Muil","Lord Of The Rings","What is the name of the region that lies east of the Shire, known for its wooded landscape and the home of the Brandybuck family, including Merry (Meriadoc Brandybuck)?","Buckland is associated with the Brandybucks."
"Cloak of Invisibility","The Scroll of Isildur","Evenstar Pendant","The Horn of Boromir","Lord Of The Rings","What magical item, given to Frodo by Galadriel, allows its wearer to become invisible?","The Cloak of Invisibility makes the wearer invisible."
"Dagorlad","Forlindon","Fangorn","Emyn Muil","Lord Of The Rings","What is the name of the vast, open plain located just outside the Black Gate of Mordor, where the Last Alliance of Elves and Men fought against Sauron's forces?","Dagorlad is a historic battlefield."
"Dori","Phial of Galadriel","Nori","Oin","Lord Of The Rings","Which Dwarf from Thorin Oakenshield's company is known for his strong sense of responsibility and takes care of the other Dwarves?","Dori is responsible and cares for the Dwarves."
"Durin III","The Palantir of Orthanc","The Mirror of Galadriel","Galadriel's Phial","Lord Of The Rings","Who is the Dwarf King of Khazad-dûm and the third king of Durin's Folk?","Durin III is the Dwarf King of Khazad-dûm."
"Durin IV","Thrain II","The Hobbit","Dáin Ironfoot","Lord Of The Rings","What Dwarf King of Khazad-dûm ruled during the time of Smaug's attack on Erebor?","Durin IV ruled during that time."
"Dwalin","Glóin","The Prancing Pony Innkeeper","Kili","Lord Of The Rings","Which dwarf from Thorin Oakenshield's company is known for his hooded cloak and large war-hammer?","Dwalin is known for his hooded cloak and war-hammer."
"Eagles","Elrond","Radagast the Brown","Uruk-hai","Lord Of The Rings","What majestic creatures come to the aid of Frodo and Sam in multiple instances during their journey?","Eagles come to the aid of Frodo and Sam."
